states,city,description
Alabama,"Mobile, AL","The crime incident count of Mobile, AL was 1,138 for aggravated assault. The crime incident count of Mobile, AL was 26,956 for all crimes. The crime incident count of Mobile, AL was 2,628 for burglary. The crime incident count of Mobile, AL was 8,261 for larceny. The crime incident count of Mobile, AL was 880 for motor vehicle theft. The crime incident count of Mobile, AL was 44 for murder and nonnegligent manslaughter. The crime incident count of Mobile, AL was 11,769 for property crime. The crime incident count of Mobile, AL was 89 for rape (revised definition). The crime incident count of Mobile, AL was 438 for robbery. The crime incident count of Mobile, AL was 1,709 for violent crime."
Alabama,"Montgomery, AL","The crime incident count of Montgomery, AL was 675 for aggravated assault. The crime incident count of Montgomery, AL was 20,408 for all crimes. The crime incident count of Montgomery, AL was 2,293 for burglary. The crime incident count of Montgomery, AL was 5,824 for larceny. The crime incident count of Montgomery, AL was 872 for motor vehicle theft. The crime incident count of Montgomery, AL was 30 for murder and nonnegligent manslaughter. The crime incident count of Montgomery, AL was 8,989 for property crime. The crime incident count of Montgomery, AL was 62 for rape (revised definition). The crime incident count of Montgomery, AL was 448 for robbery. The crime incident count of Montgomery, AL was 1,215 for violent crime."
Alabama,"Phenix City, AL","The crime incident count of Phenix City, AL was 199 for aggravated assault. The crime incident count of Phenix City, AL was 4,288 for all crimes. The crime incident count of Phenix City, AL was 454 for burglary. The crime incident count of Phenix City, AL was 1,135 for larceny. The crime incident count of Phenix City, AL was 228 for motor vehicle theft. The crime incident count of Phenix City, AL was 8 for murder and nonnegligent manslaughter. The crime incident count of Phenix City, AL was 1,817 for property crime. The crime incident count of Phenix City, AL was 42 for rape (revised definition). The crime incident count of Phenix City, AL was 78 for robbery. The crime incident count of Phenix City, AL was 327 for violent crime."
Alabama,"Prichard, AL","The crime incident count of Prichard, AL was 236 for aggravated assault. The crime incident count of Prichard, AL was 3,242 for all crimes. The crime incident count of Prichard, AL was 30 for arson. The crime incident count of Prichard, AL was 443 for burglary. The crime incident count of Prichard, AL was 643 for larceny. The crime incident count of Prichard, AL was 141 for motor vehicle theft. The crime incident count of Prichard, AL was 8 for murder and nonnegligent manslaughter. The crime incident count of Prichard, AL was 1,227 for property crime. The crime incident count of Prichard, AL was 10 for rape (revised definition). The crime incident count of Prichard, AL was 125 for robbery. The crime incident count of Prichard, AL was 379 for violent crime."
Alabama,"Tuscaloosa, AL","The crime incident count of Tuscaloosa, AL was 240 for aggravated assault. The crime incident count of Tuscaloosa, AL was 8,424 for all crimes. The crime incident count of Tuscaloosa, AL was 794 for burglary. The crime incident count of Tuscaloosa, AL was 2,708 for larceny. The crime incident count of Tuscaloosa, AL was 230 for motor vehicle theft. The crime incident count of Tuscaloosa, AL was 14 for murder and nonnegligent manslaughter. The crime incident count of Tuscaloosa, AL was 3,732 for property crime. The crime incident count of Tuscaloosa, AL was 54 for rape (revised definition). The crime incident count of Tuscaloosa, AL was 172 for robbery. The crime incident count of Tuscaloosa, AL was 480 for violent crime."
Arkansas,"Conway, AR","The crime incident count of Conway, AR was 203 for aggravated assault. The crime incident count of Conway, AR was 6,613 for all crimes. The crime incident count of Conway, AR was 3 for arson. The crime incident count of Conway, AR was 343 for burglary. The crime incident count of Conway, AR was 2,429 for larceny. The crime incident count of Conway, AR was 198 for motor vehicle theft. The crime incident count of Conway, AR was 5 for murder and nonnegligent manslaughter. The crime incident count of Conway, AR was 2,970 for property crime. The crime incident count of Conway, AR was 43 for rape (revised definition). The crime incident count of Conway, AR was 84 for robbery. The crime incident count of Conway, AR was 335 for violent crime."
Arkansas,"Fayetteville, AR","The crime incident count of Fayetteville, AR was 327 for aggravated assault. The crime incident count of Fayetteville, AR was 8,354 for all crimes. The crime incident count of Fayetteville, AR was 4 for arson. The crime incident count of Fayetteville, AR was 485 for burglary. The crime incident count of Fayetteville, AR was 2,895 for larceny. The crime incident count of Fayetteville, AR was 341 for motor vehicle theft. The crime incident count of Fayetteville, AR was 3 for murder and nonnegligent manslaughter. The crime incident count of Fayetteville, AR was 3,721 for property crime. The crime incident count of Fayetteville, AR was 59 for rape (revised definition). The crime incident count of Fayetteville, AR was 65 for robbery. The crime incident count of Fayetteville, AR was 454 for violent crime."
Arkansas,"Fort Smith, AR","The crime incident count of Fort Smith, AR was 541 for aggravated assault. The crime incident count of Fort Smith, AR was 11,895 for all crimes. The crime incident count of Fort Smith, AR was 13 for arson. The crime incident count of Fort Smith, AR was 888 for burglary. The crime incident count of Fort Smith, AR was 4,008 for larceny. The crime incident count of Fort Smith, AR was 333 for motor vehicle theft. The crime incident count of Fort Smith, AR was 4 for murder and nonnegligent manslaughter. The crime incident count of Fort Smith, AR was 5,229 for property crime. The crime incident count of Fort Smith, AR was 70 for rape (revised definition). The crime incident count of Fort Smith, AR was 97 for robbery. The crime incident count of Fort Smith, AR was 712 for violent crime."
Arkansas,"Hot Springs, AR","The crime incident count of Hot Springs, AR was 185 for aggravated assault. The crime incident count of Hot Springs, AR was 6,331 for all crimes. The crime incident count of Hot Springs, AR was 13 for arson. The crime incident count of Hot Springs, AR was 1,059 for burglary. The crime incident count of Hot Springs, AR was 1,586 for larceny. The crime incident count of Hot Springs, AR was 237 for motor vehicle theft. The crime incident count of Hot Springs, AR was 4 for murder and nonnegligent manslaughter. The crime incident count of Hot Springs, AR was 2,882 for property crime. The crime incident count of Hot Springs, AR was 26 for rape (revised definition). The crime incident count of Hot Springs, AR was 62 for robbery. The crime incident count of Hot Springs, AR was 277 for violent crime."
Arkansas,"Jacksonville, AR","The crime incident count of Jacksonville, AR was 188 for aggravated assault. The crime incident count of Jacksonville, AR was 3,120 for all crimes. The crime incident count of Jacksonville, AR was 12 for arson. The crime incident count of Jacksonville, AR was 255 for burglary. The crime incident count of Jacksonville, AR was 938 for larceny. The crime incident count of Jacksonville, AR was 114 for motor vehicle theft. The crime incident count of Jacksonville, AR was 3 for murder and nonnegligent manslaughter. The crime incident count of Jacksonville, AR was 1,307 for property crime. The crime incident count of Jacksonville, AR was 21 for rape (revised definition). The crime incident count of Jacksonville, AR was 35 for robbery. The crime incident count of Jacksonville, AR was 247 for violent crime."
Arkansas,"Jonesboro, AR","The crime incident count of Jonesboro, AR was 275 for aggravated assault. The crime incident count of Jonesboro, AR was 7,523 for all crimes. The crime incident count of Jonesboro, AR was 11 for arson. The crime incident count of Jonesboro, AR was 1,528 for burglary. The crime incident count of Jonesboro, AR was 1,727 for larceny. The crime incident count of Jonesboro, AR was 114 for motor vehicle theft. The crime incident count of Jonesboro, AR was 5 for murder and nonnegligent manslaughter. The crime incident count of Jonesboro, AR was 3,369 for property crime. The crime incident count of Jonesboro, AR was 35 for rape (revised definition). The crime incident count of Jonesboro, AR was 72 for robbery. The crime incident count of Jonesboro, AR was 387 for violent crime."
Arkansas,"Little Rock, AR","The crime incident count of Little Rock, AR was 2,186 for aggravated assault. The crime incident count of Little Rock, AR was 33,566 for all crimes. The crime incident count of Little Rock, AR was 50 for arson. The crime incident count of Little Rock, AR was 2,348 for burglary. The crime incident count of Little Rock, AR was 10,223 for larceny. The crime incident count of Little Rock, AR was 1,143 for motor vehicle theft. The crime incident count of Little Rock, AR was 42 for murder and nonnegligent manslaughter. The crime incident count of Little Rock, AR was 13,714 for property crime. The crime incident count of Little Rock, AR was 159 for rape (revised definition). The crime incident count of Little Rock, AR was 657 for robbery. The crime incident count of Little Rock, AR was 3,044 for violent crime."
Arkansas,"North Little Rock, AR","The crime incident count of North Little Rock, AR was 366 for aggravated assault. The crime incident count of North Little Rock, AR was 6,871 for all crimes. The crime incident count of North Little Rock, AR was 13 for arson. The crime incident count of North Little Rock, AR was 523 for burglary. The crime incident count of North Little Rock, AR was 2,016 for larceny. The crime incident count of North Little Rock, AR was 387 for motor vehicle theft. The crime incident count of North Little Rock, AR was 11 for murder and nonnegligent manslaughter. The crime incident count of North Little Rock, AR was 2,926 for property crime. The crime incident count of North Little Rock, AR was 11 for rape (revised definition). The crime incident count of North Little Rock, AR was 115 for robbery. The crime incident count of North Little Rock, AR was 503 for violent crime."
Arkansas,"Pine Bluff, AR","The crime incident count of Pine Bluff, AR was 528 for aggravated assault. The crime incident count of Pine Bluff, AR was 7,044 for all crimes. The crime incident count of Pine Bluff, AR was 62 for arson. The crime incident count of Pine Bluff, AR was 1,062 for burglary. The crime incident count of Pine Bluff, AR was 1,488 for larceny. The crime incident count of Pine Bluff, AR was 236 for motor vehicle theft. The crime incident count of Pine Bluff, AR was 9 for murder and nonnegligent manslaughter. The crime incident count of Pine Bluff, AR was 2,786 for property crime. The crime incident count of Pine Bluff, AR was 38 for rape (revised definition). The crime incident count of Pine Bluff, AR was 130 for robbery. The crime incident count of Pine Bluff, AR was 705 for violent crime."
Arkansas,"Rogers, AR","The crime incident count of Rogers, AR was 242 for aggravated assault. The crime incident count of Rogers, AR was 5,148 for all crimes. The crime incident count of Rogers, AR was 4 for arson. The crime incident count of Rogers, AR was 264 for burglary. The crime incident count of Rogers, AR was 1,875 for larceny. The crime incident count of Rogers, AR was 97 for motor vehicle theft. The crime incident count of Rogers, AR was 0 for murder and nonnegligent manslaughter. The crime incident count of Rogers, AR was 2,236 for property crime. The crime incident count of Rogers, AR was 74 for rape (revised definition). The crime incident count of Rogers, AR was 20 for robbery. The crime incident count of Rogers, AR was 336 for violent crime."
Arkansas,"Texarkana, AR","The crime incident count of Texarkana, AR was 122 for aggravated assault. The crime incident count of Texarkana, AR was 3,708 for all crimes. The crime incident count of Texarkana, AR was 0 for arson. The crime incident count of Texarkana, AR was 336 for burglary. The crime incident count of Texarkana, AR was 1,238 for larceny. The crime incident count of Texarkana, AR was 99 for motor vehicle theft. The crime incident count of Texarkana, AR was 5 for murder and nonnegligent manslaughter. The crime incident count of Texarkana, AR was 1,673 for property crime. The crime incident count of Texarkana, AR was 20 for rape (revised definition). The crime incident count of Texarkana, AR was 34 for robbery. The crime incident count of Texarkana, AR was 181 for violent crime."
Arkansas,"West Memphis, AR","The crime incident count of West Memphis, AR was 317 for aggravated assault. The crime incident count of West Memphis, AR was 3,332 for all crimes. The crime incident count of West Memphis, AR was 10 for arson. The crime incident count of West Memphis, AR was 369 for burglary. The crime incident count of West Memphis, AR was 751 for larceny. The crime incident count of West Memphis, AR was 80 for motor vehicle theft. The crime incident count of West Memphis, AR was 14 for murder and nonnegligent manslaughter. The crime incident count of West Memphis, AR was 1,200 for property crime. The crime incident count of West Memphis, AR was 50 for rape (revised definition). The crime incident count of West Memphis, AR was 80 for robbery. The crime incident count of West Memphis, AR was 461 for violent crime."
Arizona,"Apache Junction, AZ","The crime incident count of Apache Junction, AZ was 91 for aggravated assault. The crime incident count of Apache Junction, AZ was 2,065 for all crimes. The crime incident count of Apache Junction, AZ was 9 for arson. The crime incident count of Apache Junction, AZ was 251 for burglary. The crime incident count of Apache Junction, AZ was 597 for larceny. The crime incident count of Apache Junction, AZ was 73 for motor vehicle theft. The crime incident count of Apache Junction, AZ was 0 for murder and nonnegligent manslaughter. The crime incident count of Apache Junction, AZ was 921 for property crime. The crime incident count of Apache Junction, AZ was 1 for rape (revised definition). The crime incident count of Apache Junction, AZ was 15 for robbery. The crime incident count of Apache Junction, AZ was 107 for violent crime."
Arizona,"Avondale, AZ","The crime incident count of Avondale, AZ was 121 for aggravated assault. The crime incident count of Avondale, AZ was 6,998 for all crimes. The crime incident count of Avondale, AZ was 8 for arson. The crime incident count of Avondale, AZ was 558 for burglary. The crime incident count of Avondale, AZ was 2,459 for larceny. The crime incident count of Avondale, AZ was 245 for motor vehicle theft. The crime incident count of Avondale, AZ was 2 for murder and nonnegligent manslaughter. The crime incident count of Avondale, AZ was 3,262 for property crime. The crime incident count of Avondale, AZ was 32 for rape (revised definition). The crime incident count of Avondale, AZ was 78 for robbery. The crime incident count of Avondale, AZ was 233 for violent crime."
Arizona,"Bullhead City, AZ","The crime incident count of Bullhead City, AZ was 73 for aggravated assault. The crime incident count of Bullhead City, AZ was 3,010 for all crimes. The crime incident count of Bullhead City, AZ was 2 for arson. The crime incident count of Bullhead City, AZ was 308 for burglary. The crime incident count of Bullhead City, AZ was 999 for larceny. The crime incident count of Bullhead City, AZ was 98 for motor vehicle theft. The crime incident count of Bullhead City, AZ was 0 for murder and nonnegligent manslaughter. The crime incident count of Bullhead City, AZ was 1,405 for property crime. The crime incident count of Bullhead City, AZ was 10 for rape (revised definition). The crime incident count of Bullhead City, AZ was 16 for robbery. The crime incident count of Bullhead City, AZ was 99 for violent crime."
Arizona,"Casa Grande, AZ","The crime incident count of Casa Grande, AZ was 222 for aggravated assault. The crime incident count of Casa Grande, AZ was 4,068 for all crimes. The crime incident count of Casa Grande, AZ was 12 for arson. The crime incident count of Casa Grande, AZ was 346 for burglary. The crime incident count of Casa Grande, AZ was 1,329 for larceny. The crime incident count of Casa Grande, AZ was 69 for motor vehicle theft. The crime incident count of Casa Grande, AZ was 1 for murder and nonnegligent manslaughter. The crime incident count of Casa Grande, AZ was 1,744 for property crime. The crime incident count of Casa Grande, AZ was 23 for rape (revised definition). The crime incident count of Casa Grande, AZ was 38 for robbery. The crime incident count of Casa Grande, AZ was 284 for violent crime."
Arizona,"Chandler, AZ","The crime incident count of Chandler, AZ was 273 for aggravated assault. The crime incident count of Chandler, AZ was 13,441 for all crimes. The crime incident count of Chandler, AZ was 21 for arson. The crime incident count of Chandler, AZ was 864 for burglary. The crime incident count of Chandler, AZ was 4,895 for larceny. The crime incident count of Chandler, AZ was 393 for motor vehicle theft. The crime incident count of Chandler, AZ was 4 for murder and nonnegligent manslaughter. The crime incident count of Chandler, AZ was 6,152 for property crime. The crime incident count of Chandler, AZ was 124 for rape (revised definition). The crime incident count of Chandler, AZ was 157 for robbery. The crime incident count of Chandler, AZ was 558 for violent crime."
Arizona,"Flagstaff, AZ","The crime incident count of Flagstaff, AZ was 209 for aggravated assault. The crime incident count of Flagstaff, AZ was 6,266 for all crimes. The crime incident count of Flagstaff, AZ was 24 for arson. The crime incident count of Flagstaff, AZ was 255 for burglary. The crime incident count of Flagstaff, AZ was 2,542 for larceny. The crime incident count of Flagstaff, AZ was 59 for motor vehicle theft. The crime incident count of Flagstaff, AZ was 0 for murder and nonnegligent manslaughter. The crime incident count of Flagstaff, AZ was 2,856 for property crime. The crime incident count of Flagstaff, AZ was 26 for rape (revised definition). The crime incident count of Flagstaff, AZ was 30 for robbery. The crime incident count of Flagstaff, AZ was 265 for violent crime."
Arizona,"Gilbert, AZ","The crime incident count of Gilbert, AZ was 121 for aggravated assault. The crime incident count of Gilbert, AZ was 7,167 for all crimes. The crime incident count of Gilbert, AZ was 31 for arson. The crime incident count of Gilbert, AZ was 564 for burglary. The crime incident count of Gilbert, AZ was 2,678 for larceny. The crime incident count of Gilbert, AZ was 126 for motor vehicle theft. The crime incident count of Gilbert, AZ was 3 for murder and nonnegligent manslaughter. The crime incident count of Gilbert, AZ was 3,368 for property crime. The crime incident count of Gilbert, AZ was 39 for rape (revised definition). The crime incident count of Gilbert, AZ was 37 for robbery. The crime incident count of Gilbert, AZ was 200 for violent crime."
Arizona,"Glendale, AZ","The crime incident count of Glendale, AZ was 598 for aggravated assault. The crime incident count of Glendale, AZ was 28,018 for all crimes. The crime incident count of Glendale, AZ was 1,981 for burglary. The crime incident count of Glendale, AZ was 9,690 for larceny. The crime incident count of Glendale, AZ was 1,134 for motor vehicle theft. The crime incident count of Glendale, AZ was 23 for murder and nonnegligent manslaughter. The crime incident count of Glendale, AZ was 12,805 for property crime. The crime incident count of Glendale, AZ was 107 for rape (revised definition). The crime incident count of Glendale, AZ was 476 for robbery. The crime incident count of Glendale, AZ was 1,204 for violent crime."
Arizona,"Lake Havasu City, AZ","The crime incident count of Lake Havasu City, AZ was 102 for aggravated assault. The crime incident count of Lake Havasu City, AZ was 2,743 for all crimes. The crime incident count of Lake Havasu City, AZ was 25 for arson. The crime incident count of Lake Havasu City, AZ was 263 for burglary. The crime incident count of Lake Havasu City, AZ was 849 for larceny. The crime incident count of Lake Havasu City, AZ was 106 for motor vehicle theft. The crime incident count of Lake Havasu City, AZ was 2 for murder and nonnegligent manslaughter. The crime incident count of Lake Havasu City, AZ was 1,218 for property crime. The crime incident count of Lake Havasu City, AZ was 31 for rape (revised definition). The crime incident count of Lake Havasu City, AZ was 6 for robbery. The crime incident count of Lake Havasu City, AZ was 141 for violent crime."
Arizona,"Oro Valley, AZ","The crime incident count of Oro Valley, AZ was 18 for aggravated assault. The crime incident count of Oro Valley, AZ was 1,365 for all crimes. The crime incident count of Oro Valley, AZ was 1 for arson. The crime incident count of Oro Valley, AZ was 70 for burglary. The crime incident count of Oro Valley, AZ was 555 for larceny. The crime incident count of Oro Valley, AZ was 28 for motor vehicle theft. The crime incident count of Oro Valley, AZ was 0 for murder and nonnegligent manslaughter. The crime incident count of Oro Valley, AZ was 653 for property crime. The crime incident count of Oro Valley, AZ was 4 for rape (revised definition). The crime incident count of Oro Valley, AZ was 7 for robbery. The crime incident count of Oro Valley, AZ was 29 for violent crime."
Arizona,"Peoria, AZ","The crime incident count of Peoria, AZ was 226 for aggravated assault. The crime incident count of Peoria, AZ was 8,130 for all crimes. The crime incident count of Peoria, AZ was 12 for arson. The crime incident count of Peoria, AZ was 645 for burglary. The crime incident count of Peoria, AZ was 2,804 for larceny. The crime incident count of Peoria, AZ was 260 for motor vehicle theft. The crime incident count of Peoria, AZ was 2 for murder and nonnegligent manslaughter. The crime incident count of Peoria, AZ was 3,709 for property crime. The crime incident count of Peoria, AZ was 37 for rape (revised definition). The crime incident count of Peoria, AZ was 85 for robbery. The crime incident count of Peoria, AZ was 350 for violent crime."
Arizona,"Phoenix, AZ","The crime incident count of Phoenix, AZ was 6,263 for aggravated assault. The crime incident count of Phoenix, AZ was 138,720 for all crimes. The crime incident count of Phoenix, AZ was 216 for arson. The crime incident count of Phoenix, AZ was 13,024 for burglary. The crime incident count of Phoenix, AZ was 37,568 for larceny. The crime incident count of Phoenix, AZ was 7,960 for motor vehicle theft. The crime incident count of Phoenix, AZ was 146 for murder and nonnegligent manslaughter. The crime incident count of Phoenix, AZ was 58,552 for property crime. The crime incident count of Phoenix, AZ was 1,019 for rape (revised definition). The crime incident count of Phoenix, AZ was 3,272 for robbery. The crime incident count of Phoenix, AZ was 10,700 for violent crime."
Arizona,"Prescott, AZ","The crime incident count of Prescott, AZ was 142 for aggravated assault. The crime incident count of Prescott, AZ was 2,193 for all crimes. The crime incident count of Prescott, AZ was 5 for arson. The crime incident count of Prescott, AZ was 175 for burglary. The crime incident count of Prescott, AZ was 720 for larceny. The crime incident count of Prescott, AZ was 29 for motor vehicle theft. The crime incident count of Prescott, AZ was 0 for murder and nonnegligent manslaughter. The crime incident count of Prescott, AZ was 924 for property crime. The crime incident count of Prescott, AZ was 10 for rape (revised definition). The crime incident count of Prescott, AZ was 18 for robbery. The crime incident count of Prescott, AZ was 170 for violent crime."
Arizona,"Scottsdale, AZ","The crime incident count of Scottsdale, AZ was 163 for aggravated assault. The crime incident count of Scottsdale, AZ was 12,147 for all crimes. The crime incident count of Scottsdale, AZ was 13 for arson. The crime incident count of Scottsdale, AZ was 768 for burglary. The crime incident count of Scottsdale, AZ was 4,681 for larceny. The crime incident count of Scottsdale, AZ was 249 for motor vehicle theft. The crime incident count of Scottsdale, AZ was 4 for murder and nonnegligent manslaughter. The crime incident count of Scottsdale, AZ was 5,698 for property crime. The crime incident count of Scottsdale, AZ was 90 for rape (revised definition). The crime incident count of Scottsdale, AZ was 112 for robbery. The crime incident count of Scottsdale, AZ was 369 for violent crime."
Arizona,"Sierra Vista, AZ","The crime incident count of Sierra Vista, AZ was 49 for aggravated assault. The crime incident count of Sierra Vista, AZ was 2,732 for all crimes. The crime incident count of Sierra Vista, AZ was 6 for arson. The crime incident count of Sierra Vista, AZ was 249 for burglary. The crime incident count of Sierra Vista, AZ was 974 for larceny. The crime incident count of Sierra Vista, AZ was 55 for motor vehicle theft. The crime incident count of Sierra Vista, AZ was 3 for murder and nonnegligent manslaughter. The crime incident count of Sierra Vista, AZ was 1,278 for property crime. The crime incident count of Sierra Vista, AZ was 15 for rape (revised definition). The crime incident count of Sierra Vista, AZ was 18 for robbery. The crime incident count of Sierra Vista, AZ was 85 for violent crime."
